addr,kind,x_axis_addr,y_axis_addr,x_n,y_n,elem_size,signed,consumer_func,name_or_blank,confidence,evidence,x_elem,y_elem,struct_addr,sites
0x5C25BC,scalar,,,1,,4,0,FUN_000160a0@0x0160A0,,static,enumerate_maps.py; direct load; 1 call site(s): 0x016188,,,,1
0x5C25C0,scalar,,,1,,4,0,FUN_000160a0@0x0160A0,,static,enumerate_maps.py; direct load; 1 call site(s): 0x016500,,,,1
0x5C25C4,scalar,,,1,,4,0,FUN_00015af8@0x015AF8 FUN_000187e4@0x0187E4,,static,enumerate_maps.py; direct load; 2 call site(s): 0x015B4C 0x018838,,,,2
0x5C25CC,scalar,,,1,,4,0,FUN_000131b4@0x0131B4,,static,enumerate_maps.py; direct load; 4 call site(s): 0x0132A8 0x0133C4 0x0136F0 0x0137F8,,,,4
0x5C25D0,scalar,,,1,,4,0,FUN_000131b4@0x0131B4,,static,enumerate_maps.py; direct load; 1 call site(s): 0x013430,,,,1
0x5C25D4,scalar,,,1,,4,0,FUN_000131b4@0x0131B4,,static,enumerate_maps.py; direct load; 1 call site(s): 0x0134E4,,,,1
0x5C25D8,scalar,,,1,,4,0,FUN_000131b4@0x0131B4,,static,enumerate_maps.py; direct load; 1 call site(s): 0x01351C,,,,1
0x5C25DC,scalar,,,1,,4,0,FUN_00015d9c@0x015D9C,,static,enumerate_maps.py; direct load; 1 call site(s): 0x015E74,,,,1
0x5C262C,scalar,,,1,,1,0,FUN_000be050@0x0BE050,,static,enumerate_maps.py; direct load; 1 call site(s): 0x0BE058,,,,1
0x5C2A14,scalar,,,1,,1,0,,,static,enumerate_maps.py; direct load; 1 call site(s): 0x0FBAF0,,,,1
0x5C2E00,scalar,,,1,,1,0,FUN_000201dc@0x0201DC,,static,enumerate_maps.py; direct load; 1 call site(s): 0x0202C0,,,,1
0x5C2E01,scalar,,,1,,1,0,FUN_000201dc@0x0201DC,,static,enumerate_maps.py; direct load; 1 call site(s): 0x0202D0,,,,1
0x5C2E02,scalar,,,1,,1,0,FUN_000201dc@0x0201DC,,static,enumerate_maps.py; direct load; 1 call site(s): 0x02042C,,,,1
0x5C2E03,scalar,,,1,,1,0,FUN_000201dc@0x0201DC,,static,enumerate_maps.py; direct load; 1 call site(s): 0x02039C,,,,1
0x5C2E04,scalar,,,1,,2,0,FUN_000201dc@0x0201DC,,static,enumerate_maps.py; direct load; 1 call site(s): 0x02038C,,,,1
0x5C2E06,scalar,,,1,,2,0,FUN_000201dc@0x0201DC,,static,enumerate_maps.py; direct load; 1 call site(s): 0x02037C,,,,1
0x5C2E08,scalar,,,1,,4,0,FUN_000200a0@0x0200A0 FUN_00020138@0x020138,,static,enumerate_maps.py; direct load; 2 call site(s): 0x0200AC 0x020144,,,,2
0x5C2E10,scalar,,,1,,1,0,FUN_0002088c@0x02088C,,static,enumerate_maps.py; direct load; 1 call site(s): 0x020C4C,,,,1
0x5C2E11,scalar,,,1,,1,0,FUN_0002088c@0x02088C,,static,enumerate_maps.py; direct load; 1 call site(s): 0x020A8C,,,,1
0x5C2E12,scalar,,,1,,1,0,FUN_0002088c@0x02088C,,static,enumerate_maps.py; direct load; 2 call site(s): 0x020C98 0x020CA8,,,,2
0x5C2E13,scalar,,,1,,1,0,FUN_0002088c@0x02088C,,static,enumerate_maps.py; direct load; 1 call site(s): 0x020B78,,,,1
0x5C2E18,scalar,,,1,,4,0,FUN_000204ac@0x0204AC,,static,enumerate_maps.py; direct load; 1 call site(s): 0x0204B0,,,,1
0x5C2E1C,scalar,,,1,,4,0,FUN_000204c4@0x0204C4,,static,enumerate_maps.py; direct load; 1 call site(s): 0x020558,,,,1
0x5C2E24,scalar,,,1,,4,0,boot_tpu_code_load@0x018060,,static,enumerate_maps.py; direct load; 1 call site(s): 0x01807C,,,,1
0x5C2E78,scalar,,,1,,4,0,FUN_0011edc8@0x11EDC8,,static,enumerate_maps.py; direct load; 1 call site(s): 0x11EE98,,,,1
0x5C2E7C,scalar,,,1,,4,0,FUN_0011edc8@0x11EDC8,,static,enumerate_maps.py; direct load; 1 call site(s): 0x11EEA0,,,,1
0x5C2EA0,scalar,,,1,,1,0,FUN_0012c7f4@0x12C7F4,,static,enumerate_maps.py; direct load; 1 call site(s): 0x12C850,,,,1
0x5C2EA2,scalar,,,1,,1,0,FUN_00020e6c@0x020E6C,,static,enumerate_maps.py; direct load; 1 call site(s): 0x0210C0,,,,1
0x5C2EA3,scalar,,,1,,1,0,FUN_00020e6c@0x020E6C,,static,enumerate_maps.py; direct load; 1 call site(s): 0x020FB8,,,,1
0x5C2EA4,scalar,,,1,,1,0,FUN_00020e6c@0x020E6C,,static,enumerate_maps.py; direct load; 1 call site(s): 0x021270,,,,1
0x5C2EA5,scalar,,,1,,1,0,FUN_00020e6c@0x020E6C,,static,enumerate_maps.py; direct load; 1 call site(s): 0x0211E8,,,,1
0x5C2EA6,scalar,,,1,,1,0,FUN_00020d20@0x020D20,,static,enumerate_maps.py; direct load; 1 call site(s): 0x020D7C,,,,1
0x5C2EA7,scalar,,,1,,1,0,FUN_00020e6c@0x020E6C,,static,enumerate_maps.py; direct load; 1 call site(s): 0x020F8C,,,,1
0x5C2EA8,scalar,,,1,,1,0,FUN_00020e6c@0x020E6C,,static,enumerate_maps.py; direct load; 2 call site(s): 0x020FF8 0x0210D0,,,,2
0x5C2EAA,scalar,,,1,,2,0,FUN_00020e6c@0x020E6C,,static,enumerate_maps.py; direct load; 2 call site(s): 0x020FD8 0x020FE4,,,,2
0x5C2EAC,scalar,,,1,,1,0,FUN_000213e4@0x0213E4,,static,enumerate_maps.py; direct load; 1 call site(s): 0x021744,,,,1
0x5C2EAD,scalar,,,1,,1,0,FUN_000213e4@0x0213E4,,static,enumerate_maps.py; direct load; 1 call site(s): 0x021B44,,,,1
0x5C2EAE,scalar,,,1,,1,0,FUN_000213e4@0x0213E4,,static,enumerate_maps.py; direct load; 1 call site(s): 0x021AE8,,,,1
0x5C2EAF,scalar,,,1,,1,0,FUN_000213e4@0x0213E4,,static,enumerate_maps.py; direct load; 1 call site(s): 0x0215D4,,,,1
0x5C2EB0,scalar,,,1,,1,0,FUN_000213e4@0x0213E4,,static,enumerate_maps.py; direct load; 1 call site(s): 0x02172C,,,,1
0x5C2EB1,scalar,,,1,,1,0,FUN_000213e4@0x0213E4,,static,enumerate_maps.py; direct load; 1 call site(s): 0x021C9C,,,,1
0x5C2EB2,scalar,,,1,,1,0,FUN_000213e4@0x0213E4,,static,enumerate_maps.py; direct load; 2 call site(s): 0x0216D4 0x021710,,,,2
0x5C2EB3,scalar,,,1,,1,0,FUN_000213e4@0x0213E4,,static,enumerate_maps.py; direct load; 2 call site(s): 0x021C14 0x021C84,,,,2
0x5C2EB4,scalar,,,1,,1,0,FUN_000213e4@0x0213E4,,static,enumerate_maps.py; direct load; 1 call site(s): 0x021764,,,,1
0x5C2EB5,scalar,,,1,,1,0,FUN_000213e4@0x0213E4,,static,enumerate_maps.py; direct load; 2 call site(s): 0x021AF4 0x021B50,,,,2
0x5C2EB6,scalar,,,1,,1,0,FUN_000213e4@0x0213E4,,static,enumerate_maps.py; direct load; 1 call site(s): 0x021C30,,,,1
0x5C2EB7,scalar,,,1,,1,0,FUN_000213e4@0x0213E4,,static,enumerate_maps.py; direct load; 2 call site(s): 0x0219B0 0x0219F4,,,,2
0x5C2EB8,scalar,,,1,,1,0,FUN_000213e4@0x0213E4,,static,enumerate_maps.py; direct load; 1 call site(s): 0x021A64,,,,1
0x5C2EC2,scalar,,,1,,2,1,FUN_000213e4@0x0213E4,,static,enumerate_maps.py; direct load; 2 call site(s): 0x021620 0x021634,,,,2
0x5C2EC4,scalar,,,1,,1,0,FUN_00021d74@0x021D74,,static,enumerate_maps.py; direct load; 1 call site(s): 0x0224FC,,,,1
0x5C2EC5,scalar,,,1,,1,0,FUN_00021d74@0x021D74,,static,enumerate_maps.py; direct load; 1 call site(s): 0x022320,,,,1
0x5C2EC6,scalar,,,1,,1,0,FUN_00021d74@0x021D74,,static,enumerate_maps.py; direct load; 1 call site(s): 0x0222E4,,,,1
0x5C2EC7,scalar,,,1,,1,0,FUN_00021d74@0x021D74 FUN_000270b8@0x0270B8,,static,enumerate_maps.py; direct load; 2 call site(s): 0x0222D8 0x0272D4,,,,2
0x5C2EC8,scalar,,,1,,1,0,FUN_00021d74@0x021D74 FUN_000270b8@0x0270B8,,static,enumerate_maps.py; direct load; 2 call site(s): 0x0222F0 0x027220,,,,2
0x5C2EC9,scalar,,,1,,1,0,FUN_00021d74@0x021D74 FUN_000270b8@0x0270B8,,static,enumerate_maps.py; direct load; 2 call site(s): 0x022314 0x02744C,,,,2
0x5C2ECA,scalar,,,1,,1,0,FUN_00021d74@0x021D74,,static,enumerate_maps.py; direct load; 1 call site(s): 0x022360,,,,1
0x5C2ECB,scalar,,,1,,1,0,FUN_00021d74@0x021D74 FUN_000270b8@0x0270B8,,static,enumerate_maps.py; direct load; 2 call site(s): 0x0222FC 0x02722C,,,,2
0x5C2ECC,scalar,,,1,,1,0,FUN_00021d74@0x021D74 FUN_000226c8@0x0226C8 FUN_000270b8@0x0270B8,,static,enumerate_maps.py; direct load; 3 call site(s): 0x022308 0x022B00 0x027238,,,,3
0x5C2ECD,scalar,,,1,,1,0,FUN_00021d74@0x021D74 FUN_00022580@0x022580,,static,enumerate_maps.py; direct load; 5 call site(s): 0x02213C 0x022274 0x0222BC 0x02233C 0x022628,,,,5
0x5C2ECE,scalar,,,1,,1,0,FUN_00021d74@0x021D74,,static,enumerate_maps.py; direct load; 1 call site(s): 0x0224E0,,,,1
0x5C2ECF,scalar,,,1,,1,0,FUN_00021d74@0x021D74,,static,enumerate_maps.py; direct load; 1 call site(s): 0x0220A8,,,,1
0x5C2ED0,scalar,,,1,,1,0,FUN_00021d74@0x021D74,,static,enumerate_maps.py; direct load; 3 call site(s): 0x022188 0x0221D0 0x02221C,,,,3
0x5C2ED2,scalar,,,1,,2,0,FUN_00021d74@0x021D74,,static,enumerate_maps.py; direct load; 1 call site(s): 0x02234C,,,,1
0x5C2ED4,scalar,,,1,,2,0,FUN_00021d74@0x021D74,,static,enumerate_maps.py; direct load; 1 call site(s): 0x022370,,,,1
0x5C2ED6,scalar,,,1,,2,0,FUN_00021d74@0x021D74,,static,enumerate_maps.py; direct load; 1 call site(s): 0x022384,,,,1
0x5C2ED8,scalar,,,1,,2,0,FUN_00021d74@0x021D74,,static,enumerate_maps.py; direct load; 1 call site(s): 0x022354,,,,1
0x5C2EDA,scalar,,,1,,2,0,FUN_00021d74@0x021D74,,static,enumerate_maps.py; direct load; 1 call site(s): 0x022378,,,,1
0x5C2EDC,scalar,,,1,,2,0,FUN_00021d74@0x021D74,,static,enumerate_maps.py; direct load; 1 call site(s): 0x02238C,,,,1
0x5C2EDE,scalar,,,1,,1,0,FUN_000226c8@0x0226C8,,static,enumerate_maps.py; direct load; 1 call site(s): 0x022DC4,,,,1
0x5C2EDF,scalar,,,1,,1,0,FUN_000226c8@0x0226C8,,static,enumerate_maps.py; direct load; 1 call site(s): 0x023084,,,,1
0x5C2EE0,scalar,,,1,,1,0,FUN_000226c8@0x0226C8,,static,enumerate_maps.py; direct load; 1 call site(s): 0x02308C,,,,1
0x5C2EE1,scalar,,,1,,1,0,FUN_000226c8@0x0226C8,,static,enumerate_maps.py; direct load; 1 call site(s): 0x022A20,,,,1
0x5C2F04,scalar,,,1,,1,0,FUN_000226c8@0x0226C8,,static,enumerate_maps.py; direct load; 1 call site(s): 0x022B74,,,,1
0x5C2F05,scalar,,,1,,1,0,FUN_000226c8@0x0226C8,,static,enumerate_maps.py; direct load; 1 call site(s): 0x022AC4,,,,1
0x5C2F06,scalar,,,1,,1,0,FUN_000226c8@0x0226C8,,static,enumerate_maps.py; direct load; 1 call site(s): 0x022C6C,,,,1
0x5C2F07,scalar,,,1,,1,0,FUN_000226c8@0x0226C8,,static,enumerate_maps.py; direct load; 1 call site(s): 0x022C7C,,,,1
