var_id,ram_addr,size,name_or_blank,scaling_or_blank,evidence
1022,0x7f9cd3,1,,fmt=0x25,handler 0x42498; also reads 0x7fd1bd/1; tools/measuring_vars.py
1027,0x8011d8,2,,fmt=0x3e A=0x64,handler 0x42514; tools/measuring_vars.py
1033,0x800de0,2,,fmt=0x1f A=0x14,handler 0x42528; tools/measuring_vars.py
1034,0x800dda,2,,fmt=0x1f A=0x14,handler 0x42554; tools/measuring_vars.py
1035,0x800dd8,2,,fmt=0x1f A=0x14,handler 0x4257c; tools/measuring_vars.py
1038,0x800dd6,2,,fmt=0x1f A=0x14,handler 0x425a4; tools/measuring_vars.py
1039,0x800dd4,2,,fmt=0x1f A=0x14,handler 0x425b8; tools/measuring_vars.py
1040,0x800e0c,2,,fmt=0x37 A=0xa0,handler 0x425cc; tools/measuring_vars.py
1041,0x800da0,2,,fmt=0x36,handler 0x425f4; tools/measuring_vars.py
1042,0x800daa,2,,fmt=0x36,handler 0x42604; tools/measuring_vars.py
1043,0x800dac,2,,fmt=0x36,handler 0x42614; tools/measuring_vars.py
1044,0x800d22,1,,fmt=0x5a A=0x02,handler 0x42624; tools/measuring_vars.py
1045,0x800d1c,1,,fmt=0x5a A=0x02,handler 0x42644; tools/measuring_vars.py
1046,0x800d40,2,,fmt=0x37 A=0xa0,handler 0x42664; tools/measuring_vars.py
1047,0x800d3a,2,,fmt=0x3e A=0x19,handler 0x4268c; tools/measuring_vars.py
1048,0x802318,2,,fmt=0x5c A=0x01,handler 0x426b4; tools/measuring_vars.py
1049,0x800d21,1,,fmt=0x19,handler 0x426e0; tools/measuring_vars.py
1050,0x800d28,1,,fmt=0x07 A=0x58,handler 0x426f8; tools/measuring_vars.py
1051,0x800d23,1,,fmt=0x1a A=0x30,handler 0x42708; tools/measuring_vars.py
1052,0x801348,1,,fmt=0x10 A=0xff,"handler 0x42724; also reads 0x7f9e03/1,0x7fe885/1,0x7fcf73/1; tools/measuring_vars.py"
1053,0x7fcf73,1,,fmt=0x25 A=0x00,handler 0x427bc; also reads 0x7f9e03/1; tools/measuring_vars.py
1055,0x8021cb,1,,fmt=0x1a A=0x30,handler 0x42824; tools/measuring_vars.py
1056,0x8021ca,1,,fmt=0x1a A=0x30,handler 0x42840; tools/measuring_vars.py
1057,0x8021cd,1,,fmt=0x36 A=0x00,handler 0x4285c; tools/measuring_vars.py
1058,0x8021ce,1,,fmt=0x36 A=0x00,handler 0x4286c; tools/measuring_vars.py
1059,0x7f9bd2,1,,fmt=0x36 A=0x00,handler 0x4287c; tools/measuring_vars.py
1060,0x801348,1,,fmt=0x10 A=0xff,"handler 0x4288c; also reads 0x7f9dfb/1,0x7fd3d1/1; tools/measuring_vars.py"
1061,0x800fac,2,,fmt=0x1f A=0x14,handler 0x42934; tools/measuring_vars.py
1064,0x7f9118,2,,fmt=0x1a A=0x30,handler 0x4295c; tools/measuring_vars.py
1065,0x7f9114,1,,fmt=0x5a A=0x02,handler 0x42988; tools/measuring_vars.py
