start,end,r13_read,r13_write,r13_addr,abs_read,abs_write,abs_addr,ptr_words,ptr_cal,init_bytes,known,free_candidate
0x7FD600,0x7FD61F,112,32,0,0,0,0,0,0,32,,0
0x7FD620,0x7FD63F,16,48,3,0,0,0,1,0,32,,0
0x7FD640,0x7FD65F,0,4,1,0,0,0,3,0,32,,0
0x7FD660,0x7FD67F,48,44,3,0,0,0,0,0,32,,0
0x7FD680,0x7FD69F,140,56,0,0,0,0,0,0,32,,0
0x7FD6A0,0x7FD6BF,26,40,8,0,0,0,1,0,32,,0
0x7FD6C0,0x7FD6DF,48,36,5,0,0,0,0,0,32,,0
0x7FD6E0,0x7FD6FF,212,32,0,0,0,0,0,0,32,,0
0x7FD700,0x7FD71F,136,144,5,0,0,0,1,0,32,,0
0x7FD720,0x7FD73F,32,32,0,6,0,5,0,0,32,,0
0x7FD740,0x7FD75F,32,32,0,0,0,0,0,0,32,,0
0x7FD760,0x7FD77F,36,32,0,0,2,2,0,0,32,,0
0x7FD780,0x7FD79F,32,32,0,56,76,7,0,0,32,,0
0x7FD7A0,0x7FD7BF,80,32,1,39,35,36,0,0,32,,0
0x7FD7C0,0x7FD7DF,68,32,0,4,4,2,0,0,32,,0
0x7FD7E0,0x7FD7FF,120,32,0,0,4,2,0,0,32,,0
0x7FD800,0x7FD81F,136,32,0,0,4,0,0,0,32,,0
0x7FD820,0x7FD83F,100,32,0,0,1,2,0,0,32,,0
0x7FD840,0x7FD85F,108,32,0,40,4,20,0,0,32,,0
0x7FD860,0x7FD87F,96,32,0,48,48,11,0,0,32,,0
0x7FD880,0x7FD89F,128,41,0,26,13,8,0,0,32,,0
0x7FD8A0,0x7FD8BF,64,48,0,24,8,8,0,0,32,,0
0x7FD8C0,0x7FD8DF,128,32,0,14,37,22,1,0,32,,0
0x7FD8E0,0x7FD8FF,56,24,0,0,0,2,0,0,32,,0
0x7FD900,0x7FD91F,0,0,0,0,0,0,0,0,32,,1
0x7FD920,0x7FD93F,0,0,0,12,38,3,0,0,32,,0
0x7FD940,0x7FD95F,0,0,0,56,48,6,0,0,32,,0
0x7FD960,0x7FD97F,0,0,0,27,19,33,0,0,32,,0
0x7FD980,0x7FD99F,0,0,0,4,4,1,0,0,32,,0
0x7FD9A0,0x7FD9BF,0,0,0,0,4,2,0,0,32,,0
0x7FD9C0,0x7FD9DF,0,0,0,0,0,0,0,0,32,,1
0x7FD9E0,0x7FD9FF,0,0,0,33,32,10,0,0,32,,0
0x7FDA00,0x7FDA1F,0,0,0,116,32,30,0,0,32,,0
0x7FDA20,0x7FDA3F,0,4,0,58,112,35,0,0,32,,0
0x7FDA40,0x7FDA5F,1,0,0,81,37,16,0,0,32,,0
0x7FDA60,0x7FDA7F,0,0,0,136,32,30,0,0,32,,0
0x7FDA80,0x7FDA9F,0,0,1,80,177,70,0,0,32,,0
0x7FDAA0,0x7FDABF,0,0,0,20,55,22,0,0,32,,0
0x7FDAC0,0x7FDADF,0,0,0,48,16,6,0,0,32,,0
0x7FDAE0,0x7FDAFF,0,0,0,67,80,6,0,0,32,,0
0x7FDB00,0x7FDB1F,22,8,3,21,16,14,0,0,32,,0
0x7FDB20,0x7FDB3F,0,0,1,6,11,5,1,0,32,,0
0x7FDB40,0x7FDB5F,0,0,0,161,32,9,0,0,32,,0
0x7FDB60,0x7FDB7F,0,0,0,15,16,13,1,0,32,,0
0x7FDB80,0x7FDB9F,0,0,0,20,30,10,0,0,32,,0
0x7FDBA0,0x7FDBBF,29,7,0,0,0,7,0,0,32,,0
0x7FDBC0,0x7FDBDF,0,0,0,0,0,2,1,0,32,,0
0x7FDBE0,0x7FDBFF,0,0,0,0,0,0,0,0,32,,1
0x7FDC00,0x7FDC1F,0,0,0,0,0,0,0,0,32,,1
0x7FDC20,0x7FDC3F,0,0,0,0,0,0,1,0,32,,0
0x7FDC40,0x7FDC5F,0,0,0,0,0,0,0,0,32,,1
0x7FDC60,0x7FDC7F,39,7,0,0,0,0,0,0,32,,0
0x7FDC80,0x7FDC9F,0,4,1,0,0,24,0,0,32,,0
0x7FDCA0,0x7FDCBF,36,4,24,0,0,0,0,0,32,,0
0x7FDCC0,0x7FDCDF,0,0,7,0,0,0,0,0,32,,0
0x7FDCE0,0x7FDCFF,0,0,1,0,0,0,0,0,32,,0
