# session: ff_fuel, 2026-09-17T15:23:58+03:00
# ecu: 03H906032 / 1037382557
# dump_sha256: b15590d3f1874ace3125c5d047c09a686db9b8bb498187663539ebab205609b3
# transport: KWP2000 0x2C/0x21 over TP2.0
# source_file: /Users/carlo/ecu_azx/.claude/worktrees/agent-a018e0e0ede90c99f/logging/sessions/ff_fuel.json
# simulated: true
# simulated_by: logging/ecu_sim.py -- NOT a recording of an ECU
# sim_patch: /Users/carlo/ecu_azx/.claude/worktrees/agent-a018e0e0ede90c99f/patches/ff_fuel
# sim_time_scale: 5
time_s,var,value,unit
1.1646,tnst_w,0,count
1.1646,fr_w_b1,0,-
1.1646,rlsol_req,0,%
1.1646,rl_max_arb,0.195312,%
1.5053,ff_magic,1179004977,-
1.5053,ff_length,68,B
1.5053,ff_csum,64683,-
1.5053,ff_e_filt,12.8125,%
1.5053,ff_f_q10,1.08496,-
1.5053,ff_mode,1,-
1.5053,ff_status,0,-
1.5053,ff_e_raw,85,%
1.5053,ff_t_fuel,25,degC
1.5053,ff_frame_ctr,77,-
1.5053,ff_fw_ver,1,-
1.5053,ff_cal_mode,1,-
1.5053,ff_cal_ok,1,-
1.5053,ff_age_ticks,0.22,s
1.5053,ff_hold_ticks,0,s
1.5053,ff_frames,78,count
1.5053,ff_faults,0,count
1.5053,ff_stall,0,count
1.5053,ff_src_owner,1,-
1.5053,ff_src_seen,1,-
1.5053,ff_src_foreign,0,count
1.5053,ff_ticks,643,count
1.5053,ff_e_key,0,%
1.5053,ff_e_frac,341,-
1.5053,ff_frame_bad,0,-
1.5053,ff_dzw_e,0,degCA
1.5053,ff_fzw_q8,0,-
1.5053,ff_rk_calls,484,count
1.5053,ff_e_persist,0,%
1.5053,ff_persist_state,0,-
1.5053,ff_persist_err,2,-
1.5053,ff_diag_e_pct,13,%
1.5053,ff_diag_f_pct,108,%
1.5053,ff_diag_t_degc,25,degC
1.5053,ff_persist_wait,53.57,s
1.5053,ff_persist_writes,0,count
1.5053,ff_persist_fails,0,count
1.5053,eep_blk8_mirror_b0,0,%
1.5053,eep_blk8_mirror_b14,0,-
1.5053,eep_blk8_mirror_b29,0,-
1.5053,eep_blk8_mirror_csum,0,-
1.5053,nvm_queue_state,0,-
1.5053,raster_setA_10ms_count,642,count
1.5053,raster_setB_10ms_count,0,count
1.5053,raster_setB_1ms_count,0,count
1.5053,rk_fuel_mass,2105,-
1.5053,ti_sum,157286,ms
1.5053,dwi_inj_angle,7.5,degCA
1.5053,zwist_display_b1,15,degCA
1.5053,dwkrz_0,-0.75,degCA
1.5053,dwkrz_1,-2.25,degCA
1.5053,dwkrz_2,-0.75,degCA
1.5053,dwkrz_3,0,degCA
1.5053,dwkrz_4,-1.5,degCA
1.5053,dwkrz_5,-0.75,degCA
1.5053,wkrm,-0.75,degCA
1.5053,zw_low_octane_latch,0,-
1.5053,rl_w,64.2822,%
1.5053,prist_w,60,bar
1.5053,nmot_w,2214.5,rpm
1.5053,rl_for_fuel,64.2822,%
1.5053,tmot,23.25,degC
1.5053,can_rx_spare0_b0,85,%
1.5053,can_rx_spare0_ctr,85,-
1.5053,ff_fst_q10,1,-
1.5053,ff_zwst_add,0,degCA
1.5053,tmst,-48,degC
1.5053,ksta_adapted,1,-
1.5053,zwstt,0,degCA
1.5053,B_st,0,-
1.5053,B_stend,0,-
1.5053,anztist,0,count
1.5053,zdgz,0,count
1.5053,tnst_w,0,count
1.5053,fr_w_b1,0,-
1.5053,rlsol_req,0,%
1.5053,rl_max_arb,0.195312,%
1.8353,ff_magic,1179004977,-
1.8353,ff_length,68,B
1.8353,ff_csum,64669,-
1.8353,ff_e_filt,15.5,%
1.8353,ff_f_q10,1.10254,-
1.8353,ff_mode,1,-
1.8353,ff_status,0,-
1.8353,ff_e_raw,85,%
1.8353,ff_t_fuel,25,degC
1.8353,ff_frame_ctr,94,-
1.8353,ff_fw_ver,1,-
1.8353,ff_cal_mode,1,-
1.8353,ff_cal_ok,1,-
1.8353,ff_age_ticks,0.21,s
1.8353,ff_hold_ticks,0,s
1.8353,ff_frames,95,count
1.8353,ff_faults,0,count
1.8353,ff_stall,0,count
1.8353,ff_src_owner,1,-
1.8353,ff_src_seen,1,-
1.8353,ff_src_foreign,0,count
1.8353,ff_ticks,777,count
1.8353,ff_e_key,0,%
1.8353,ff_e_frac,127,-
1.8353,ff_frame_bad,0,-
1.8353,ff_dzw_e,0,degCA
1.8353,ff_fzw_q8,0,-
1.8353,ff_rk_calls,643,count
1.8353,ff_e_persist,0,%
1.8353,ff_persist_state,0,-
1.8353,ff_persist_err,2,-
1.8353,ff_diag_e_pct,16,%
1.8353,ff_diag_f_pct,110,%
1.8353,ff_diag_t_degc,25,degC
1.8353,ff_persist_wait,52.23,s
1.8353,ff_persist_writes,0,count
1.8353,ff_persist_fails,0,count
1.8353,eep_blk8_mirror_b0,0,%
1.8353,eep_blk8_mirror_b14,0,-
1.8353,eep_blk8_mirror_b29,0,-
1.8353,eep_blk8_mirror_csum,0,-
1.8353,nvm_queue_state,0,-
1.8353,raster_setA_10ms_count,776,count
1.8353,raster_setB_10ms_count,0,count
1.8353,raster_setB_1ms_count,0,count
1.8353,rk_fuel_mass,2329,-
1.8353,ti_sum,157286,ms
1.8353,dwi_inj_angle,7.5,degCA
1.8353,zwist_display_b1,15,degCA
1.8353,dwkrz_0,0,degCA
1.8353,dwkrz_1,-0.75,degCA
1.8353,dwkrz_2,0,degCA
1.8353,dwkrz_3,0,degCA
1.8353,dwkrz_4,-0.75,degCA
1.8353,dwkrz_5,0,degCA
1.8353,wkrm,0,degCA
1.8353,zw_low_octane_latch,0,-
1.8353,rl_w,73.9258,%
1.8353,prist_w,60,bar
1.8353,nmot_w,2509.25,rpm
1.8353,rl_for_fuel,73.9258,%
1.8353,tmot,24,degC
1.8353,can_rx_spare0_b0,85,%
1.8353,can_rx_spare0_ctr,101,-
1.8353,ff_fst_q10,1,-
1.8353,ff_zwst_add,0,degCA
1.8353,tmst,-48,degC
1.8353,ksta_adapted,1,-
1.8353,zwstt,0,degCA
1.8353,B_st,0,-
1.8353,B_stend,0,-
1.8353,anztist,0,count
1.8353,zdgz,0,count
1.8353,tnst_w,0,count
1.8353,fr_w_b1,0,-
1.8353,rlsol_req,0,%
1.8353,rl_max_arb,0.195312,%
2.1667,ff_magic,1179004977,-
2.1667,ff_length,68,B
2.1667,ff_csum,64757,-
2.1667,ff_e_filt,17.9375,%
2.1667,ff_f_q10,1.11816,-
2.1667,ff_mode,1,-
2.1667,ff_status,0,-
2.1667,ff_e_raw,85,%
2.1667,ff_t_fuel,25,degC
2.1667,ff_frame_ctr,110,-
2.1667,ff_fw_ver,1,-
2.1667,ff_cal_mode,1,-
2.1667,ff_cal_ok,1,-
2.1667,ff_age_ticks,0.21,s
2.1667,ff_hold_ticks,0,s
2.1667,ff_frames,111,count
2.1667,ff_faults,0,count
2.1667,ff_stall,0,count
2.1667,ff_src_owner,1,-
2.1667,ff_src_seen,1,-
2.1667,ff_src_foreign,0,count
2.1667,ff_ticks,899,count
2.1667,ff_e_key,0,%
2.1667,ff_e_frac,85,-
2.1667,ff_frame_bad,0,-
2.1667,ff_dzw_e,0,degCA
2.1667,ff_fzw_q8,0,-
2.1667,ff_rk_calls,804,count
2.1667,ff_e_persist,0,%
2.1667,ff_persist_state,0,-
2.1667,ff_persist_err,2,-
2.1667,ff_diag_e_pct,18,%
2.1667,ff_diag_f_pct,111,%
2.1667,ff_diag_t_degc,25,degC
2.1667,ff_persist_wait,51.01,s
2.1667,ff_persist_writes,0,count
2.1667,ff_persist_fails,0,count
2.1667,eep_blk8_mirror_b0,0,%
2.1667,eep_blk8_mirror_b14,0,-
2.1667,eep_blk8_mirror_b29,0,-
2.1667,eep_blk8_mirror_csum,0,-
2.1667,nvm_queue_state,0,-
2.1667,raster_setA_10ms_count,898,count
2.1667,raster_setB_10ms_count,0,count
2.1667,raster_setB_1ms_count,0,count
2.1667,rk_fuel_mass,2544,-
2.1667,ti_sum,157286,ms
2.1667,dwi_inj_angle,7.5,degCA
2.1667,zwist_display_b1,15,degCA
2.1667,dwkrz_0,-0.75,degCA
2.1667,dwkrz_1,-2.25,degCA
2.1667,dwkrz_2,-0.75,degCA
2.1667,dwkrz_3,0,degCA
2.1667,dwkrz_4,-2.25,degCA
2.1667,dwkrz_5,-0.75,degCA
2.1667,wkrm,-0.75,degCA
2.1667,zw_low_octane_latch,0,-
2.1667,rl_w,82.7148,%
2.1667,prist_w,60,bar
2.1667,nmot_w,2777.75,rpm
2.1667,rl_for_fuel,82.7148,%
2.1667,tmot,24.75,degC
2.1667,can_rx_spare0_b0,85,%
2.1667,can_rx_spare0_ctr,118,-
2.1667,ff_fst_q10,1,-
2.1667,ff_zwst_add,0,degCA
